Name,Degree,Degree year,Award year,Award,Citation
George Akerlof,PhD,1966,2001,Economics,for their analyses of markets with asymmetric information
Sid Altman,SB,1960,1989,Chemistry,for their discovery of catalytic properties of RNA
Kofi Annan,SM,1972,2001,Peace,for their work for a better organized and more peaceful world
Robert Aumann,SM,1952,2005,Economics,for having enhanced our understanding of conflict and cooperation through game-theory analysis
Elias James Corey,"SB , PhD","1948 , 1951",1990,Chemistry,for his development of the theory and methodology of organic synthesis
Eric Cornell,PhD,1990,2001,Physics,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms , and for early fundamental studies of the properties of the condensates"
Peter Diamond,PhD,1963,2010,Economics,for [ the ] analysis of markets with search frictions
Richard Feynman,SB,1939,1965,Physics,"for their fundamental work in quantum electrodynamics , with deep-ploughing consequences for the physics of elementary particles"
Andrew Z . Fire,PhD,1983,2006,Medicine/Physiology,for their discovery of RNA interference - gene silencing by double-stranded RNA
Murray Gell-Mann,PhD,1951,1969,Physics,for his contributions and discoveries concerning the classification of elementary particles and their interactions
Leland H. Hartwell,PhD,1964,2001,Medicine/Physiology,for their discoveries of key regulators of the cell cycle
H. Robert Horvitz,SB,1968,2002,Medicine/Physiology,for their discoveries concerning 'genetic regulation of organ development and programmed cell death '
Henry W. Kendall,"SB , PhD","1948 , 1951",1990,Physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons , which have been of essential importance for the development of the quark model in particle physics"
Lawrence Klein,PhD,1944,1980,Economics,for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies
Paul Krugman,PhD,1977,2009,Economics,for developing new trade theory and
Robert B. Laughlin,PhD,1979,1998,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations
Robert C. Merton,PhD,1970,1997,Economics,for a new method to determine the value of derivatives
Robert S. Mulliken,SB,1917,1966,Chemistry,for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method
Robert Mundell,PhD,1956,1999,Economics,for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas
Charles Pedersen,SM,1927,1987,Chemistry,for their development and use of molecules with structure-specific interactions of high selectivity
