Team,Home town/suburb,Ground,Seasons
Bohemians A,Phibsborough,AUL Complex Dalymount Park,2008-11
Bray Wanderers A,Bray,Jackson Park,2008-11
F.C . Carlow,County Carlow,The Valley The Meadows,2009-11
Castlebar Celtic,Castlebar,Celtic Park,2009-10
Cobh Ramblers,Cobh,St Colman 's Park,2008-11
Cork City A,Cork,Turner 's Cross,2008-09
Derry City A,Derry,Brandywell Stadium,2008-09 2011
Drogheda United A,Drogheda,United Park,2008-11
Dundalk A,Dundalk,Oriel Park,2009-11
Fanad United,Fanad,Tragh-a-Lough,2011
Finn Harps A,Ballybofey,Finn Park,2008-11
Galway United A,Galway,Athenry Castle Park,2008-11
Limerick A,Limerick,Jackman Park Riverside Park Aisling-Annacotty Grounds,2008 2010-11
Mervue United,Galway,Fahy 's Field,2008
St Patrick 's Athletic A,Inchicore,Richmond Park,2008-11
Salthill Devon,Salthill,Drom Soccer Park,2008-09
Shamrock Rovers A,Drumcondra Tallaght,Tolka Park Tallaght Stadium,2008-11
Shelbourne A,Drumcondra,Tolka Park,2010
Sligo Rovers A,Sligo,Showgrounds Sligo IT Grounds,2008-11
Sporting Fingal A,Fingal,ALSAA Sports Complex,2009-10
