District,Senator,Party,Residence,Assumed office on
1,Karen Fann,Rep,Prescott,2017
2,Andrea Dalessandro,Dem,Green Valley,2014†
3,Sally Ann Gonzales,Dem,Tucson,2018
4,Lisa Otondo,Dem,Yuma,2017
5,Sonny Borrelli,Rep,Lake Havasu City,2017
6,Sylvia Allen,Rep,Heber,2015†
7,Jamescita Peshlakai,Dem,Cameron,2017
8,Frank Pratt,Rep,Casa Grande,2017
9,Victoria Steele,Dem,Tucson,2018
10,David Bradley,Dem,Tucson,2013
11,Vince Leach,Rep,Saddlebrooke,2018
12,Eddie Farnsworth,Rep,Gilbert,2018
13,Sine Kerr,Rep,Buckeye,2018†
14,David Gowan,Rep,Sierra Vista,2018
15,Heather Carter,Rep,Cave Creek,2018
16,Dave Farnsworth,Rep,Mesa,2013†
17,J. D. Mesnard,Rep,Chandler,2018
18,Sean Bowie,Dem,Ahwatukee,2017
19,Lupe Contreras,Dem,Cashion,2015
20,Paul Boyer,Rep,Phoenix,2018
