Club,League,Venue,Established,Premierships
Cairns Taipans,National Basketball League,Cairns Convention Centre,1999,Nil
Dick Johnson Racing,International V8 Supercars Championship,Queensland Raceway,1980,7
Erebus Motorsport,International V8 Supercars Championship,Queensland Raceway,2013,Nil
Gold Coast Hawks,Australian Premier League,Club Helensvale,2014,Nil
Gold Coast Suns,Australian Football League,Carrara Stadium,2011,Nil
Gold Coast Titans,National Rugby League,Robina Stadium,2007,Nil
James Rosenberg Racing,International V8 Supercars Championship,Queensland Raceway,1995,Nil
North Queensland Cowboys,National Rugby League,Willow Sports Complex,1995,1
Queensland Country,National Rugby Championship,-,2014,Nil
Queensland Cowboys,NRL Touch Premiership,Willows Sports Complex,2018,0
Queensland Sundevils,Australian Gridiron League,-,1985,1
Queensland Titans,NRL Touch Premiership,Robina Stadium,2018,0
Tekno Autosports,International V8 Supercars Championship,Queensland Raceway,2010,Nil
Townsville Fire,Women 's National Basketball League,Townsville Entertainment Centre,2001,2
