Rank,Score,Athlete,Venue,Date
1,"8,358",Austra Skujytė ( LTU ),Columbia,14-15 April 2005
2,"8,150",Marie Collonvillé ( FRA ),Talence,25-26 September 2004
3,"7,921",Jordan Gray ( USA ),San Mateo,22-23 June 2019
4,"7,798",Irina Karpova ( KAZ ),Talence,25-26 September 2004
5,"7,358",Julie Martin ( FRA ),Talence,25-26 September 2004
6,"7,064",Breanna Eveland ( USA ),Columbia,13-14 April 2006
7,"6,878",Jessica Taylor ( GBR ),Erith,12-13 September 2015
8,"6,749",Barbora Špotáková ( CZE ),Talence,25-26 September 2004
9,"6,709",Marie-Cécile Crancé ( FRA ),Talence,25-26 September 2004
10,"6,641",Lindsay Grigoriev ( USA ),Columbia,14-15 April 2005
11,"6,614",María Peinado ( ESP ),Castellón,22-23 October 2005
