Position,Name,School,ABCA,BA,CB
Pitcher,Bobby Jones,Fresno State,Y,Y,Y
Pitcher,Kennie Steenstra,Wichita State,Y,Y,Y
Pitcher,Keith Garagozzo,Delaware,Y,-,Y
Pitcher,Steve Montgomery,Pepperdine,Y,-,-
Pitcher,Craig Clayton,Cal State,-,Y,-
Pitcher,Steve Whitaker,Long Beach State,-,Y,-
Pitcher,John Burke,Florida,-,Y,-
Pitcher,Bill Blanchette,Hawaii,-,-,Y
Pitcher,Tony Phillips,Southern Miss,-,-,Y
Pitcher,Phil Stidham ( 2 ),Arkansas,-,-,Y
Catcher,Pedro Grifol,Florida State,Y,Y,-
Catcher,Michael Daniel,Oklahoma State,-,-,Y
First baseman,David McCarty,Stanford,Y,Y,Y
Second baseman,Jimmy Crowley,Clemson,Y,-,-
Second baseman,Steve Rodriguez,Pepperdine,-,Y,-
Second baseman,Billy Hall,Wichita State,-,-,Y
Third baseman,Scott Stahoviak,Creighton,Y,Y,-
Third baseman,Andy Bruce,Georgia Tech,-,-,Y
Shortstop,Brent Gates,Minnesota,Y,Y,Y
Outfielder,Mike Kelly ( 2 ),Arizona State,Y,Y,Y
