Season,Player,School,Position
1991,Tom Tumulty,Pittsburgh,LB
1992,Bruce Presley,Rutgers,RB
1993,Terrell Willis,Rutgers,RB
1994,Kenard Lang,Miami,DE
1995 *,Donovan McNabb,Syracuse,QB
1996 *,Amos Zereoue,West Virginia,RB
1997,Reggie Wayne,Miami,WR
1998,Joaquin Gonzalez,Miami,OT
1999,Michael Vick,Virginia Tech,QB
2000,Grant Wiley,West Virginia,LB
2001,Kevin Jones,Virginia Tech,RB
2002,Larry Fitzgerald,Pittsburgh,WR
2003,Chris Henry,West Virginia,WR
2004,Brian Toal,Boston College,LB
2005,Steve Slaton,West Virginia,RB
2006,Matt Grothe,South Florida,QB
2007 *,LeSean McCoy,Pittsburgh,RB
2008,Victor Anderson,Louisville,RB
2009 *,Dion Lewis,Pittsburgh,RB
2010,Hakeem Smith,Louisville,S
