Region,Rnd,Host,Venue,City,State
East,1 & 2,University of North Carolina,Carmichael Auditorium,Chapel Hill,North Carolina
East,1 & 2,University of Texas,Frank Erwin Center,Austin,Texas
East,1 & 2,University of Alabama,Coleman Coliseum,Tuscaloosa,Alabama
East,1 & 2,George Washington University,Charles E. Smith Athletic Center,Washington,District of Columbia
Mideast,1 & 2,Louisiana State University,LSU Assembly Center ( Pete Maravich Assembly Center ),Baton Rouge,Louisiana
Mideast,1 & 2,Old Dominion University,Old Dominion University Fieldhouse,Norfolk,Virginia
Mideast,1 & 2,Louisiana Tech University,Thomas Assembly Center,Ruston,Louisiana
Mideast,1 & 2,University of Florida,O'Connell Center,Gainesville,Florida
Midwest,1 & 2,University of Tennessee,Thompson-Boling Arena,Knoxville,Tennessee
Midwest,1 & 2,University of Colorado,CU Events Center ( Coors Events Center ),Boulder,Colorado
Midwest,1 & 2,University of Connecticut,Harry A. Gampel Pavilion,Storrs,Connecticut
Midwest,1 & 2,University of Illinois,Assembly Hall ( Champaign ),Champaign,Illinois
West,1 & 2,University of Georgia,Georgia Coliseum ( Stegeman Coliseum ),Athens,Georgia
West,1 & 2,University of Virginia,University Hall ( University of Virginia ),Charlottesville,Virginia
West,1 & 2,Stanford University,Maples Pavilion,Stanford,California
West,1 & 2,University of Kansas,Allen Field House,Lawrence,Kansas
