Institution,Nickname,Status,Founded,Location
Aklan State University,ASU,State,1963,"Banga , Aklan"
Capiz State University,CapSU,State,1980,"Roxas City , Capiz"
Carlos Hilado Memorial State College,CHMSC,State,1954,"Talisay , Negros Occidental"
Central Philippines State University,CPSU,State,1946,"Kabankalan City , Negros Occidental"
Guimaras State College,GSC Maroons,State,1968,"Buenavista , Guimaras"
Iloilo State College of Fisheries,ISCOF,State,1957,"Barotac Nuevo , Iloilo"
Northern Iloilo Polytechnic State College,NIPSC,State,1952,"Estancia , Iloilo"
Northern Negros State College of Science and Technology,NONESCOST,State,1998,Negros Occidental
University of Antique,UA,State,1954,"Sibalom , Antique"
University of the Philippines Visayas,UPV Fighting Maroons,National,1947,"Miagao , Iloilo"
West Visayas State University,WVSU Eagles,State,1902,"Iloilo City , Iloilo"
