Date,Co-Hosts,Guests/Segments
January 10,Regis Philbin & Kelly Ripa,"Kevin Bacon , Jamie Lynn Spears"
January 11,Regis Philbin & Kelly Ripa,Susan Lucci
January 12,Regis Philbin & Kelly Ripa,Taye Diggs
January 13,Regis Philbin & Kelly Ripa,"Billy Crystal , Topher Grace , Rachel Bilson"
January 14,Regis Philbin & Kelly Ripa,"Marg Helgenberger , Ryan Seacrest"
January 17,Regis Philbin & Kelly Ripa,John Leguizamo
January 18,Regis Philbin & Kelly Ripa,"Laurence Fishburne , Ted McGinley"
January 19,Regis Philbin & Kelly Ripa,"Donald Trump , Jeff Probst , Ice Cube"
January 20,Regis Philbin & Kelly Ripa,Richard Marx
January 21,Regis Philbin & Kelly Ripa,"Nicole Richie , Robert Downey Jr"
January 24,Regis Philbin & Kelly Ripa,"Ethan Hawke , Aisha Tyler"
January 25,Regis Philbin & Kelly Ripa,"Chad Michael Murray , LeAnn Rimes , Claudia Cohen"
January 26,Regis Philbin & Kelly Ripa,"Jeff Gordon , Emma Bunton"
January 27,Regis Philbin & Kelly Ripa,"Drea de Matteo , Jeff Gordon"
January 28,Regis Philbin & Kelly Ripa,Jimmy Kimmel
January 31,Regis Philbin & Kelly Ripa,Billy Crystal
