Rank,Name,Net worth ( USD ),Age,Sources of wealth
1,Jeff Bezos,$ 114 billion,55,Amazon
2,Bill Gates,$ 106 billion,64,"Microsoft , Cascade Investment"
3,Warren Buffett,$ 80.8 billion,89,Berkshire Hathaway
4,Mark Zuckerberg,$ 69.6 billion,35,Facebook
5,Larry Ellison,$ 65 billion,75,Oracle
6,Larry Page,$ 55.5 billion,46,Google
7,Sergey Brin,$ 53.5 billion,45,Google
8,Michael Bloomberg,$ 53.4 billion,77,Bloomberg L.P
9,Steve Ballmer,$ 51.7 billion,63,"Microsoft , LA Clippers"
10,Jim Walton,$ 51.6 billion,70,"Walmart , inherited"
11,Alice Walton,$ 51.4 billion,69,"Walmart , inherited"
12,S. Robson Walton,$ 51.3 billion,74,"Walmart , inherited"
13,Charles Koch,$ 41 billion,83,Koch Industries
13,Julia Koch,$ 41 billion,57,"Koch Industries , inherited"
15,MacKenzie Bezos,$ 36.1 billion,49,"Amazon , divorce"
