Year,Title,Role
1994,The Lion King,Young Simba ( voice )
1994,Pom Poko,Shoukichi ( voice )
1995,Man of the House,Ben Archer
1995,Tom and Huck,Tom Sawyer
1996,The Adventures of Pinocchio,Pinocchio ( voice )
1997,Wild America,Marshall Stouffer
1998,I Woke Up Early the Day I Died,Boy at Beach
1998,I 'll Be Home for Christmas,Jake Wilkinson
1998,The Emperor 's New Clothes : An All-Star Illustrated Retelling of the Classic Fairy Tale,The Imperial Prince ( voice )
1999,Speedway Junky,Steve
1999,Walking Across Egypt,Wesley Benfield
2000,Common Ground,Tobias Anderson
2000,The Tangerine Bear : Home in Time for Christmas !,Tangie ( voice )
2000,Timothy Tweedle the First Christmas Elf,Timothy Tweedle
2001,An American Town,Rafe
2005,Tilt-A-Whirl,Customer # 3
2005,Thru the Moebius Strip,Prince Ragis ( voice )
