Year,Mark,Athlete,Place
1988,58.94 m ( 193 ft 4 ⁄ 4 in ),Carol Cady ( USA ),Los Gatos
1989,61.50 m ( 201 ft 9 ⁄ 4 in ),Yelena Pichugina ( URS ),Frunze
1990,61.96 m ( 203 ft 3 ⁄ 4 in ),Larisa Baranova ( URS ),Adler
1991,64.44 m ( 211 ft 5 in ),Alla Davydova ( URS ),Adler
1992,65.40 m ( 214 ft 6 ⁄ 4 in ),Olga Kuzenkova ( RUS ),Bryansk
1993,64.64 m ( 212 ft ⁄ 4 in ),Olga Kuzenkova ( RUS ),Krasnodar
1994,67.34 m ( 220 ft 11 in ),Svetlana Sudak ( BLR ),Minsk
1995,68.16 m ( 223 ft 7 ⁄ 4 in ),Olga Kuzenkova ( RUS ),Moscow
1996,69.46 m ( 227 ft 10 ⁄ 2 in ),Olga Kuzenkova ( RUS ),Sydney
1997,73.10 m ( 239 ft 9 ⁄ 4 in ),Olga Kuzenkova ( RUS ),Munich
1998,73.80 m ( 242 ft 1 ⁄ 2 in ),Olga Kuzenkova ( RUS ),Tolyatti
1999,76.07 m ( 249 ft 6 ⁄ 4 in ),Mihaela Melinte ( ROM ),Rüdlingen
2000,75.68 m ( 248 ft 3 ⁄ 2 in ),Olga Kuzenkova ( RUS ),Tula
2001,73.62 m ( 241 ft 6 ⁄ 4 in ),Olga Kuzenkova ( RUS ),Adler
2002,73.07 m ( 239 ft 8 ⁄ 4 in ),Olga Kuzenkova ( RUS ),Annecy
2003,75.14 m ( 246 ft 6 ⁄ 4 in ),Yipsi Moreno ( CUB ),Savona
2004,75.18 m ( 246 ft 7 ⁄ 4 in ),Yipsi Moreno ( CUB ),Havana
2005,77.06 m ( 252 ft 9 ⁄ 4 in ),Tatyana Lysenko ( RUS ),Moscow
2006,77.80 m ( 255 ft 2 ⁄ 4 in ),Tatyana Lysenko ( RUS ),Tallinn
2007,77.30 m ( 253 ft 7 ⁄ 4 in ),Tatyana Lysenko ( RUS ),Adler
