Sr. No,City/Municipality,State,Basilica,Date of Designation,Rite
1,Goa Velha,Goa,Basilica of Bom Jesus,1946-01-11,Latin
2,Mumbai,Maharashtra,"Basilica of Our Lady of the Mount , Bandra ( Mount Mary Church )",1954-10-04,Latin
3,Chennai,Tamil Nadu,San Thome Basilica,1956-03-16,Latin
4,Sardhana,Uttar Pradesh,Basilica of Our Lady of Graces,1961-12-13,Latin
5,Velankanni,Tamil Nadu,Basilica of Our Lady of Good Health,1962-11-03,Latin
6,Bangalore,Karnataka,"St Mary 's Basilica , Shivajinagar",1973-09-02,Latin
7,Kochi,Kerala,"St Mary 's Cathedral Basilica , Ernakulam",1974-03-20,Syro-Malabar
8,Thoothukudi,Tamil Nadu,Our Lady of Snows Shrine Basilica,1982-07-30,Latin
9,Kochi,Kerala,Santa Cruz Cathedral Basilica,1984-08-23,Latin
10,Bandel,West Bengal,Basilica Shrine of Our Lady of the Rosary,1988-11-25,Latin
11,Thrissur,Kerala,Basilica of Our Lady of Dolours,1992-04-25,Syro-Malabar
12,Thiruvaiyaru,Tamil Nadu,"Basilica of Our Lady of Lourdes , Poondi ( Poondi Madha Basilica )",1999-08-03,Latin
13,Ranchi,Jharkhand,"Basilica of the Divine Motherhood of Our Lady , Raja Ulhatu",2004-11-30,Latin
14,Kochi,Kerala,"Basilica of Our Lady of Ransom , Vallarpadam ( National Shrine )",2004-12-01,Latin
15,Tiruchirapalli,Tamil Nadu,Basilica of the Holy Redeemer,2006-10-12,Latin
16,Thiruvananthapuram,Kerala,Pro-Cathedral of St Mary Queen of Peace,2008-10-13,Syro-Malankara
17,Secunderabad,Telangana,"Basilica of Our Lady of the Assumption , Secunderabad",2008-11-07,Latin
18,Angamaly,Kerala,St. George Basilica,2009-06-24,Syro-Malabar
19,Alleppey,Kerala,"St Andrew 's Basilica , Arthunkal",2010-07-09,Latin
20,Pondicherry,Puducherry,Basilica of the Sacred Heart of Jesus,2011-06-24,Latin
