Rank,Athlete,Nationality,Time
1,Doris Brown,United States,11:08.4
2,Berny Lenferink,Netherlands,11:21.2
3,Joyce Smith,England,11:23.2
4,Angela Lovell,England,11:24.4
5,Janet Bristol,United States,11:25.2
6,Christine Haskett,Scotland,11:26.6
7,Valerie Robinson,New Zealand,11:27.4
8,Bev Shingles,New Zealand,11:28.2
9,Irene Miller,New Zealand,11:30
10,Rita Ridley,England,11:34.2
11,Beth Bonner,United States,11:35.4
12,Sheila Carey,England,11:36.6
13,Zina Boniolo,Italy,11:37.8
14,Thelwyn Bateman,Wales,11:43.8
15,Belen Azpeitia,Spain,11:47.6
16,Jean Lochhead,Wales,11:48.4
17,Annie van den Kerkhof,Netherlands,11:50
18,Heather Thomson,New Zealand,11:52.2
19,Ann O'Brien,Ireland,11:53.2
20,Bronwen Cardy,Wales,11:55.5
