Rank,Station,Country,Location,Capacity ( MW )
1,Hornsea 1,United Kingdom,53°53′06″N 1°47′28″E / 53.885°N 1.791°E / 53.885 ; 1.791 ( Hornsea 1 ),"1,218"
2,Walney Extension,United Kingdom,54°2′38″N 3°31′19″W / 54.04389°N 3.52194°W / 54.04389 ; -3.52194 ( Walney Wind Farm ),659
3,London Array,United Kingdom,51°38′38″N 1°33′13″E / 51.64389°N 1.55361°E / 51.64389 ; 1.55361 ( London Array ),630
4,Gemini Wind Farm,Netherlands,54°2′10″N 05°57′47″E / 54.03611°N 5.96306°E / 54.03611 ; 5.96306 ( Gemini Wind Farm ),600
5,Beatrice,United Kingdom,58°7′48″N 3°4′12″W / 58.13000°N 3.07000°W / 58.13000 ; -3.07000 ( Beatrice Wind Farm ),588
6,Gode Wind ( phases 1+2 ),Germany,54°04′N 7°02′E / 54.067°N 7.033°E / 54.067 ; 7.033 ( Gode Wind I+II ),582
7,Gwynt y Môr,United Kingdom,53°27′00″N 03°35′00″W / 53.45000°N 3.58333°W / 53.45000 ; -3.58333 ( Gwynt y Môr ),576
8,Race Bank,United Kingdom,53°16′N 0°50′E / 53.267°N 0.833°E / 53.267 ; 0.833 ( Race Bank ),573
9,Greater Gabbard,United Kingdom,51°52′48″N 1°56′24″E / 51.88000°N 1.94000°E / 51.88000 ; 1.94000 ( Greater Gabbard wind farm ),504
10,Hohe See,Germany,54°26′N 6°19′E / 54.433°N 6.317°E / 54.433 ; 6.317,504
