#,Player,To,Fee,Date
1,Alan Hutton,Tottenham Hotspur,"£9,000,000",30 January 2008
2,Giovanni van Bronckhorst,Arsenal,"£8,500,000",20 June 2001
3,Jean-Alain Boumsong,Newcastle United,"£8,000,000",1 January 2005
4,Carlos Cuéllar,Aston Villa,"£7,800,000",12 August 2008
5,Barry Ferguson,Blackburn Rovers,"£7,500,000",29 August 2003
6,Tore André Flo,Sunderland,"£6,750,000",30 August 2002
7,Trevor Steven,Marseille,"£5,585,000",31 August 1991
8,Nikica Jelavić,Everton,"£5,500,000",31 January 2012
9,Duncan Ferguson,Everton,"£4,200,000",11 December 1994
10,Claudio Reyna,Sunderland,"£4,000,000",7 December 2001
