Team,Stadium,Home games,Average attendance,Total attendance,Capacity percentage
Green Bay Packers,Lambeau Field,8,"78,413","627,308",107.2%
Indianapolis Colts,Lucas Oil Stadium,8,"66,047","528,381",104.8%
San Francisco 49ers,Levi 's Stadium,8,"70,799","566,392",103.4%
Seattle Seahawks,CenturyLink Field,8,"69,020","552,162",103.0%
Miami Dolphins,Sun Life Stadium,8,"67,193","537,548",102.9%
Philadelphia Eagles,Lincoln Financial Field,8,"69,483","555,868",102.8%
Denver Broncos,Sports Authority Field at Mile High,8,"76,922","615,381",101.0%
Houston Texans,NRG Stadium,8,"71,769","574,159",101.0%
Chicago Bears,Soldier Field,8,"62,035","496,287",100.9%
Carolina Panthers,Bank of America Stadium,8,"74,056","592,454",100.4%
Baltimore Ravens,M & T Bank Stadium,8,"71,002","568,018",100.0%
Minnesota Vikings,TCF Bank Stadium,8,"52,430","419,440",99.8%
Atlanta Falcons,Georgia Dome,8,"70,355","562,845",98.8%
Arizona Cardinals,University of Phoenix Stadium,8,"64,185","513,487",98.7%
Pittsburgh Steelers,Heinz Field,8,"64,356","514,854",98.3%
New England Patriots,Gillette Stadium,8,"66,829","534,632",97.2%
Kansas City Chiefs,Arrowhead Stadium,8,"74,086","592,688",96.5%
New York Giants,MetLife Stadium,8,"79,001","632,011",95.8%
Buffalo Bills,Ralph Wilson Stadium,8,"69,880","559,047",95.6%
New Orleans Saints,Mercedes-Benz Superdome,8,"73,038","584,305",95.5%
