Rank,Name,Headquarters,Primary industry,Market value ( USD million )
1,General Electric,United States,Conglomerate,"372,089"
2,Microsoft,United States,Software industry,"326,639"
3,Exxon Mobil,United States,Oil and gas,"299,820"
4,Wal-Mart,United States,Retail,"273,220"
5,Citigroup,United States,Banking,"255,299"
6,Pfizer,United States,Health care,"249,021"
7,Intel Corporation,United States,Computer hardware,"203,838"
8,BP,United Kingdom,Oil and gas,"200,794"
9,Johnson & Johnson,United States,Health care,"197,912"
10,Royal Dutch Shell,The Netherlands,Oil and gas,"189,913"
