Border crossing point,Agency responsible for French immigration checks,Agency responsible for French customs checks,Nature of presence,Ferries from outside the Schengen Area
Caen port,Police aux Frontières,Customs,Permanent,Brittany Ferries to/from Portsmouth
Calais port,Police aux Frontières,Customs,Permanent,DFDS Seaways and P & O Ferries to/from Dover
Carteret port,Police aux Frontières,Customs,Permanent,Manche Îles Express to/from Guernsey and Jersey
Cherbourg port,Police aux Frontières,Customs,Permanent,Brittany Ferries to/from Poole and Portsmouth and Celtic Link Ferries and Irish Ferries to/from Rosslare
Diélette port,Customs,Customs,Permanent,Manche Îles Express to/from Alderney and Guernsey
Dieppe port,Police aux Frontières,Customs,Permanent,Transmanche Ferries to/from Newhaven
Dunkerque port,Police aux Frontières,Customs,Permanent,DFDS Seaways to/from Dover
Granville port,Police aux Frontières,Customs,Permanent,Manche Îles Express to/from Jersey
Le Havre port,Police aux Frontières,Customs,Permanent,LD Lines to/from Portsmouth
Marseille port,Police aux Frontières,Customs,Permanent,"Algérie Ferries to/from Algiers , Bejaia , Oran and Skikda"
Roscoff port,Customs,Customs,Permanent,Brittany Ferries to/from Cork and Plymouth and Irish Ferries to/from Rosslare
Saint Malo port,Police aux Frontières,Customs,Permanent,"Brittany Ferries to/from Portsmouth and Condor Ferries to/from Guernsey , Jersey , Poole and Weymouth"
Sète port,Police aux Frontières,Customs,Permanent,Comarit to/from Nador and Tangier
