Club,Winners,Runners-up,Winning years,Runner-up years
Dinamo Tbilisi,13,2,"1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 2003 , 2004 , 2009 , 2013 , 2014 , 2015 , 2016 ( spring )","1998 , 2010"
Torpedo Kutaisi,4,5,"1999 , 2001 , 2016 ( autumn ) , 2018","2000 , 2002 , 2004 , 2011 , 2017"
Lokomotivi Tbilisi,3,2,"2000 , 2002 , 2005","2001 , 2019"
Ameri Tbilisi,2,1,"2006 , 2007",2008
Dinamo Batumi,1,4,1998,"1993 , 1995 , 1996 , 1997"
FC Zestafoni,1,4,2008,"2005 , 2006 , 2007 , 2012"
Chikhura Sachkhere,1,2,2017,"2013 , 2014"
Gagra,1,1,2011,2018
Guria Lanchkhuti,1,0,1990,
WIT Georgia,1,0,2010,
Dila Gori,1,0,2012,
Saburtalo,1,0,2019,
Tskhumi Sukhumi,0,2,,"1990 , 1992"
Olimpi Rustavi,0,2,,"1994 , 2009"
Sioni Bolnisi,0,2,,"2003 , 2016 ( spring )"
Samgurali,0,1,,1999
Samtredia,0,1,,2015
Merani Martvili,0,1,,2016 ( autumn )
