Medal,Name,Games,Sport,Event
Silver,Ladislav Troják,1948 St. Moritz,Ice hockey,Men 's team competition
Silver,Karol Divin,1960 Squaw Valley,Figure skating,Men 's singles
Bronze,Vladimír Dzurilla František Gregor Jozef Golonka,1964 Innsbruck,Ice hockey,Men 's team competition
Silver,Vladimír Dzurilla Jozef Golonka,1968 Grenoble,Ice hockey,Men 's team competition
Gold,Ondrej Nepela,1972 Sapporo,Figure skating,Men 's singles
Bronze,Vladimír Dzurilla Rudolf Tajcnár,1972 Sapporo,Ice hockey,Men 's team competition
Silver,Igor Liba Vincent Lukáč Dušan Pašek Dárius Rusnák,1984 Sarajevo,Ice hockey,Men 's team competition
Silver,Gabriela Svobodová,1984 Sarajevo,Cross-country skiing,Women 's 4 x 5 km relay
Bronze,Jozef Sabovčík,1984 Sarajevo,Figure skating,Men 's singles
Bronze,Igor Liba Róbert Švehla Peter Veselovský Jaromir Dragan,1992 Albertville,Ice hockey,Men 's team competition
