Year,Horse,Trainer,Owner
2018,Monomoy Girl,Brad Cox,"Sol Kumin , Michael Dubb , Elkstone Group & Bethlehem Stables"
2017,Abel Tasman,Bob Baffert,China Horse Club International & Clearsky Farms
2016,Songbird,Jerry Hollendorfer,Fox Hill Farms Inc
2015,Stellar Wind,John W. Sadler,Hronis Racing
2014,Untapable,Steve Asmussen,Ron Winchell
2013,Beholder,Richard E. Mandella,Spendthrift Farm
2012,Questing,Kiaran McLaughlin,Godolphin Racing
2011,Royal Delta,Bill Mott,Saud bin Khaled
2010,Blind Luck,Jerry Hollendorfer,"M. Dedomenico , J . Carver , J. Hollendorfer , Abruzz"
2009,Rachel Alexandra,Steve Asmussen,Stonestreet Stables
2008,Proud Spell,J. Larry Jones,Brereton C. Jones
2007,Rags to Riches,Todd A. Pletcher,Michael Tabor & Derrick Smith
2006,Wait A While,Todd A. Pletcher,Arindel Farm
2005,Smuggler,Claude R. McGaughey III,Ogden Mills Phipps
2004,Ashado,Todd A. Pletcher,Jonabell Farm
2003,Bird Town,Nick Zito,Marylou Whitney Stables
2002,Farda Amiga,Paulo Lobo,Escolastica Stable et al
2001,Xtra Heat,John E. Salzman Sr,"J. E. Salzman Sr. , Ken Taylor , Harry Deitchman"
2000,Surfside,D. Wayne Lukas,Overbrook Farm
1999,Silverbulletday,Bob Baffert,Michael E. Pegram
