Name,Size ( MW ),Location
Apple Blossom Wind Farm,100,Huron County
Beebe Wind Farm,81.6,Gratiot County
Beebe 1B Wind Farm,50.4,Gratiot County
Big Turtle Wind Farm,20,Huron County
Brookfield Wind Farm,75,Huron County
Cross Winds,111,Tuscola County
Cross Winds II,44,Tuscola County
Deerfield Wind Farm,149,Huron County
Echo Wind Park,120,Huron County
Garden Wind Farm,28,"Garden Township , Delta County"
DTE/Invenergy Gratiot County Wind Project,213,Gratiot County
Harvest Wind Farm I,53,Huron County
Harvest Wind Farm II,59,Huron County
Lake Winds Energy Park,100.8,Mason County
Mackinaw City,1.8,Mackinaw City
McKinley,14,Huron County
Michigan Wind 1,69,Ubly
Michigan Wind 2,90,Minden City
Minden,32,Sanilac
Pine River,161,"Gratiot , Isabella Counties"
