Year,Winner,Language,Novel,Shortlisted
1996,David Malouf,English,Remembering Babylon,John Banville - Ghosts V. S. Naipaul - A Way in the World Cees Nooteboom - The Following Story Connie Palmen - The Laws José Saramago - The Gospel According to Jesus Christ Jane Urquhart - Away
1997,Javier Marías,Spanish,A Heart So White ( translated by Margaret Jull Costa ),Sherman Alexie - Reservation Blues Rohinton Mistry - A Fine Balance Dương Thu Hương - Novel Without a Name Antonio Tabucchi - Pereira Maintains Lars Gustafsson - A Tiler 's Afternoon A. J. Verdelle - The Good Negress Alan Warner - Morvern Callar
1998,Herta Müller,German,The Land of Green Plums ( translated by Michael Hofmann ),Margaret Atwood - Alias Grace André Brink - Imaginings of Sand David Dabydeen - The Counting House David Foster - The Glade Within the Grove Jamaica Kincaid - Autobiography of my Mother Earl Lovelace - Salt Lawrence Norfolk - The Pope 's Rhinoceros Graham Swift - Last Orders Guy Vanderhaeghe - The Englishman 's Boy
1999,Andrew Miller,English,Ingenious Pain,Jim Crace - Quarantine Don DeLillo - Underworld Francisco Goldman - The Ordinary Seaman Ian McEwan - Enduring Love Haruki Murakami - The Wind-Up Bird Chronicle Cynthia Ozick - The Puttermesser Papers Bernhard Schlink - The Reader
2000,Nicola Barker,English,Wide Open,Michael Cunningham - The Hours Jackie Kay - Trumpet Colum McCann - This Side of Brightness Alice McDermott - Charming Billy Toni Morrison - Paradise Philip Roth - I Married a Communist
2001,Alistair MacLeod,English,No Great Mischief,Margaret Cezair-Thompson - The True History of Paradise Silvia Molina - The Love You Promised Me Andrew O'Hagan - Our Fathers Victor Pelevin - Buddha 's Little Finger Colm Tóibín - The Blackwater Lightship
2002,Michel Houellebecq,French,Atomised ( translated by Frank Wynne ),Peter Carey - True History of the Kelly Gang Margaret Atwood - The Blind Assassin Michael Collins - The Keepers of Truth Helen DeWitt - The Last Samurai Carlos Fuentes - The Years with Laura Diaz Antoni Libera - Madame
2003,Orhan Pamuk,Turkish,My Name Is Red ( translated by Erdağ Göknar ),Dennis Bock - The Ash Garden Achmat Dangor - Bitter Fruit Per Olov Enquist - The Visit of the Royal Physician Jonathan Franzen - The Corrections Lídia Jorge - The Migrant Painter of Birds John McGahern - That They May Face the Rising Sun Ann Patchett - Bel Canto
2004,Tahar Ben Jelloun,French,This Blinding Absence of Light ( translated by Linda Coverdale ),"Paul Auster - The Book of Illusions William Boyd - Any Human Heart Sandra Cisneros - Caramelo Jeffrey Eugenides - Middlesex Maggie Gee - The White Family Amin Maalouf - Balthasar 's Odyssey ( translated from French by Barbara Bray ) Rohinton Mistry - Family Matters Atiq Rahimi - Earth and Ashes ( translated from Persian by Erdağ Göknar ) Olga Tokarczuk - House of Day , House of Night ( translated from Polish by Antonia Lloyd-Jones )"
2005,Edward P. Jones,English,The Known World,Diane Awerbuck - Gardening at Night Lars Saabye Christensen - The Half Brother ( translated from Norwegian by Kenneth Steven ) Damon Galgut - The Good Doctor Douglas Glover - Elle Arnon Grunberg - Phantom Pain ( translated from Dutch by Sam Garrett ) Shirley Hazzard - The Great Fire Christoph Hein - Willenbrock ( translated from German by Philip Boehm ) Frances Itani - Deafening Jonathan Lethem - The Fortress of Solitude
