Name,Flag,Tonnage ( GRT ),Notes
HMS Antelope ( H36 ),Royal Navy,,Escort 29 Sept - 11 Oct
HMS Anthony ( H40 ),Royal Navy,,Escort 29 Sept - 11 Oct
Atlantic ( 1939 ),United Kingdom,"5,414",Commodore 's ship
RFA Black Ranger ( 1941 ),United Kingdom,"3,417",Detached on 4 Oct with HMS Antelope
Blairnevis ( 1930 ),United Kingdom,"4,155",
HMS Britomart ( J22 ),Royal Navy,,Escort 29 Sept - 11 Oct
Capira ( 1920 ),Panama,"5,625",
Elna Ii ( 1903 ),Soviet Union,"3,221",
Escapade,Royal Navy,,Escort 1 Oct - 11 Oct
Gemstone ( 1938 ),United Kingdom,"4,986",
Gossamer,Royal Navy,,Escort 29 Sept - 11 Oct
Harmonic ( 1930 ),United Kingdom,"4,558",
HMS Harrier,Royal Navy,,Escort 10 Oct - 11 Oct
HMS Hussar ( J82 ),Royal Navy,,Escort 29 Sept - 11 Oct
HMS Impulsive ( D11 ),Royal Navy,,Escort 29 Sept - 11 Oct
HMS Leda ( J93 ),Royal Navy,,Escort 29 Sept - 11 Oct
Lorca ( 1931 ),United Kingdom,"4,875",
North King ( 1903 ),Panama,"4,934",Vice-commodore 's ship
River Afton ( 1935 ),United Kingdom,"5,479",
HMS Suffolk ( 55 ),Royal Navy,,Escort 29 Sept - 11 Oct
