Season,Champion,Runner-up,Score
2000,Duendes,Jockey Club,-
2001,Jockey Club,Duendes,26-25
2002,Duendes,Jockey Club,-
2003,Gimnasia y Esgrima ( R ),Universitario ( R ),17-15
2004,Gimnasia y Esgrima ( R ),Jockey Club,14-10
2005,Universitario ( R ),Duendes,30-29
2006,Duendes,Jockey Club,29-12
2007,Duendes,Jockey Club,16-12
2008,Santa Fe,Ateneo Inmaculada,21-13
2009,Universitario ( R ),Jockey Club,11-6
2010,Duendes,Santa Fe,37-21
2011,Duendes,Jockey Club,-
2012,Duendes,Jockey Club,24-19
2013,Duendes,Jockey Club,36-10
2014,Duendes,Universitario ( R ),61-12
2015,Duendes,Ateneo Inmaculada,29-16
2016,Duendes,Old Resian,40-31
2017,Jockey Club,Duendes,37-36
2018,Duendes,Gimnasia y Esgrima ( R ),27-22
2019,Old Resian,Jockey Club,13-6
