Artist,Single,Released,Sales ( in millions )
Maroon 5 featuring Cardi B,Girls Like You,2018,11.9
Justin Bieber,Love Yourself,2015,11.7
Avicii featuring Aloe Blacc,Wake Me Up,2013,11.1
Sia feat . Sean Paul,Cheap Thrills,2016,11.1
Meghan Trainor,All About That Bass,2014,11
Tia Ray,Be Apart,2018,10.9
Idina Menzel,Let It Go,2013,10.9
Justin Bieber,Sorry,2015,10.8
Rihanna featuring Drake,Work,2016,10.6
Lukas Graham,7 Years,2015,10.4
Bruno Mars,Grenade,2010,10.2
The Chainsmokers featuring Daya,Do n't Let Me Down,2016,10.2
Lorde,Royals,2013,10
Nicki Minaj,Super Bass,2011,10
Mike Posner,I Took a Pill in Ibiza,2015,10
Shakira featuring Freshlyground,Waka Waka ( This Time for Africa ),2010,10
Shakira featuring Wyclef Jean,Hips Do n't Lie,2006,10
Lady Gaga featuring Colby O'Donis,Just Dance,2008,10
