Pos,No,Driver,Constructor,Lap,Gap
1,6,Juan Pablo Montoya,Williams - BMW,1:18.998,-
2,2,Rubens Barrichello,Ferrari,1:19.032,+0.034
3,1,Michael Schumacher,Ferrari,1:19.042,+0.044
4,5,Ralf Schumacher,Williams - BMW,1:19.329,+0.331
5,4,Kimi Räikkönen,McLaren - Mercedes,1:20.133,+1.135
6,3,David Coulthard,McLaren - Mercedes,1:20.315,+1.317
7,14,Jarno Trulli,Renault,1:20.516,+1.518
8,24,Mika Salo,Toyota,1:20.995,+1.997
9,11,Jacques Villeneuve,BAR - Honda,1:21.130,+2.132
10,7,Nick Heidfeld,Sauber - Petronas,1:21.187,+2.189
11,8,Felipe Massa,Sauber - Petronas,1:21.191,+2.193
12,15,Jenson Button,Renault,1:21.247,+2.249
13,12,Olivier Panis,BAR - Honda,1:21.274,+2.276
14,10,Takuma Sato,Jordan - Honda,1:21.337,+2.339
15,25,Allan McNish,Toyota,1:21.382,+2.384
16,20,Heinz-Harald Frentzen,Arrows - Cosworth,1:21.416,+2.418
17,9,Giancarlo Fisichella,Jordan - Honda,1:21.636,+2.638
18,21,Enrique Bernoldi,Arrows - Cosworth,1:21.780,+2.782
19,16,Eddie Irvine,Jaguar - Cosworth,1:21.851,+2.853
20,23,Mark Webber,Minardi - Asiatech,1:22.281,+3.283
