Name,M,Degree,Notes
Rushanara Ali,1993,BA PPE,Labour MP for Bethnal Green and Bow ( 2010- )
Edward Bayntun,1636,,MP for Devizes and Calne at various points between 1640-1679
Tony Blair ( HF ),1972,"BA Jurisprudence ( 2nd , 1975 )",Prime Minister of the United Kingdom ( 1997-2007 ) ; Labour MP for Sedgefield ( 1983-2007 )
Aidan Burley,1998,BA Theology,Conservative MP for Cannock Chase ( 2010-2015 )
Alistair Burt,1974,BA Jurisprudence ( 1977 ),Conservative MP for Bury North ( 1983-1997 ) and North East Bedfordshire ( 2001-2019 )
Alan Duncan,1976,BA PPE ( 1979 ),Conservative MP for Rutland and Melton ( 1992-2019 )
Angela Eagle,1980,BA PPE,Labour MP for Wallasey ( 1992- )
John Grogan,1979,BA History and Economics ( 1982 ),Labour MP for Selby ( 1997-2010 )
David Heath,1972,MA Physiological Sciences,Liberal Democrat MP for Somerton and Frome ( 1997-2015 )
John Howell,1978,DPhil Archaeology,Conservative MP for Henley ( 2008- )
Gregg McClymont,1999,DPhil History,"Labour MP for Cumbernauld , Kilsyth and Kirkintilloch East ( 2010-2015 )"
Andrew Smith,1969,"BA PPE , BPhil",Labour MP for Oxford East ( 1987-2017 ) ; Chief Secretary to the Treasury ( 1999-2002 ) ; Secretary of State for Work and Pensions ( 2002-2004 )
David Tredinnick,1981,MLitt,Conservative MP for Bosworth ( 1987-2019 )
