Year,Song,Film
1982,Mere Angne Mein,Laawaris
1992,Dekha Hai Pehli Baar,Saajan
1993,Aisi Deewangi,Deewana
1994,Baazigar O Baazigar,Baazigar
1994,Palki Main Hogi Sawar,Khalnayak
1994,Hum Hain Rahi Pyar Ke,Hum Hain Rahi Pyar Ke
1995,Churake Dil Mera,Main Khiladi Tu Anari
1995,Raah Mein Unse,Vijaypath
1996,Raja Ko Rani Se,Akele Hum Akele Tum
1996,Akhiyan Milaoon,Raja
1997,Pardesi Pardesi,Raja Hindustani
1997,Bahon Ke Darmiyan,Khamoshi : The Musical
1998,Mere Khwaabon Mein Tu,Gupt
1999,Kuch Kuch Hota Hai,Kuch Kuch Hota Hai
1999,Chamma Chamma,China Gate
2000,Chand Chupa Badal Main,Hum Dil De Chuke Sanam
2001,Panchhi Nadiya,Refugee
2001,Haaye Mera Dil,Josh
2002,San Sanana,Asoka
2002,Jaane Kyon,Dil Chahta Hai
