Draft pick,Player,Club,Drafted to
88 N,Alex Sexton,Redland,Gold Coast
91 N,Jackson Allen,Morningside,Gold Coast
14 R,Tom Bell,Morningside,Carlton
22 R,Stephen Wrigley,Labrador,Brisbane Lions
51 R,Simon Tunbridge,Greater Western Sydney,West Coast
57 R,Richard Newell,Brisbane Lions,Brisbane Lions
93 R,Harry Cunningham,Greater Western Sydney,Sydney
94 R,Josh Hall,Gold Coast,Gold Coast
95 R,Jack Lynch,Sydney,Sydney
96 R,Sam Michael,Redland,Brisbane Lions
-,Dayne Zorko,Broadbeach,Brisbane Lions
-,Peter Yagmoor,Morningside,Collingwood
