Scientific name,Common name,Classified,Conservation status
Pithecia pithecia,White-faced saki,1766 Linnaeus,least concern
Pithecia monachus,Monk saki,1812 É. Geoffroy,least concern
Pithecia irrorata,Rio Tapajós saki,1842 Gray,least concern
Pithecia aequatorialis,Equatorial saki,1987 Hershkovitz,least concern
Pithecia albicans,White-footed saki,1860 Gray,vulnerable
Chiropotes satanas,Black bearded saki,1807 Hoffmannsegg,critically endangered
Chiropotes chiropotes,Red-backed bearded saki,1811 Humboldt,least concern
Chiropotes israelita,Brown-backed bearded saki,1823 Spix,not evaluated
Chiropotes utahickae,Uta Hick 's bearded saki,1985 Hershkovitz,endangered
Chiropotes albinasus,White-nosed saki,1848 I. Geoffroy and Deville,endangered
Cacajao melanocephalus,Black-headed uakari,1812 Humboldt,least concern
Cacajao calvus,Bald uakari,1847 I. Geoffroy,vulnerable
Cacajao ayresii,Aracá uakari,2008 Boubli et al,vulnerable
Cacajao hosomi,Neblina uakari,2008 Boubli et al,vulnerable
