S/N,Launch Date,Launch Vehicle,Payload,Remarks
2,1982-10-30,Titan 34D,DSCS II F-16 / III A-1,Mission successful despite telemetry loss for most of the flight
1,1983-04-04,Space Shuttle Challenger ( STS-6 ),TDRS-A ( TDRS-1 ),"The second stage tumbled due to a thruster motor problem , resulting in an incorrect orbit . The Boeing staff that was monitoring the flight was able to separate the tumbling IUS from the satellite so it could be maneuvered into its final orbit"
11,1985-01-24,Space Shuttle Discovery ( STS-51-C ),USA-8 ( Magnum ),Classified DoD payload
12,1985-10-03,Space Shuttle Atlantis ( STS-51-J ),USA-11 / 12 ( DSCS ),Classified DoD payload
3,1986-01-28,Space Shuttle Challenger ( STS-51-L ),TDRS-B,Destroyed during launch
7,1988-09-29,Space Shuttle Discovery ( STS-26 ),TDRS-C ( TDRS-3 ),
9,1989-03-13,Space Shuttle Discovery ( STS-29 ),TDRS-D ( TDRS-4 ),
18,1989-05-04,Space Shuttle Atlantis ( STS-30 ),Magellan,Probe to Venus
8,1989-06-14,Titan IV ( 402 ) A,USA-39 ( DSP ),
19,1989-10-18,Space Shuttle Atlantis ( STS-34 ),Galileo,Probe to Jupiter
5,1989-11-23,Space Shuttle Discovery ( STS-33 ),USA-48 ( Magnum ),Classified DoD payload
17,1990-10-06,Space Shuttle Discovery ( STS-41 ),Ulysses,Probe to the polar regions of the Sun
6,1990-11-13,Titan IV ( 402 ) A,USA-65 ( DSP ),
15,1991-08-02,Space Shuttle Atlantis ( STS-43 ),TDRS-E ( TDRS-5 ),
14,1991-11-24,Space Shuttle Atlantis ( STS-44 ),USA-75 ( DSP ),
13,1993-01-13,Space Shuttle Endeavour ( STS-54 ),TDRS-F ( TDRS-6 ),
20,1994-12-22,Titan IV ( 402 ) A,USA-107 ( DSP ),
26,1995-07-13,Space Shuttle Discovery ( STS-70 ),TDRS-G ( TDRS-7 ),
4,1997-02-23,Titan IV ( 402 ) B,USA-130 ( DSP ),
21,1999-04-09,Titan IV ( 402 ) B,USA-142 ( DSP ),"IUS first and second stages failed to separate , payload placed into useless orbit"
