District,Representative,Party,Current Age,Residence,First Elected
1,Garey Bies,Rep,73,Sister Bay,2000
2,Andre Jacque,Rep,39,Bellevue,2010
3,Alvin Ott,Rep,70,Forest Junction,1986
4,Chad Weininger,Rep,47,Green Bay,2010
5,Jim Steineke,Rep,49,Kaukauna,2010
6,Gary Tauchen,Rep,66,Bonduel,2006
7,Peggy Krusick,Dem,63,Milwaukee,1983
8,Jocasta Zamarripa,Dem,43,Milwaukee,2010
9,Josh Zepnick,Dem,51,Milwaukee,2002
10,Elizabeth M. Coggs,Dem,57,Milwaukee,2010
11,Jason Fields,Dem,46,Milwaukee,2004
12,Frederick P. Kessler,Dem,80,Milwaukee,2004
13,David Cullen,Dem,60,Milwaukee,1990
14,Dale P. Kooyenga,Rep,40,Brookfield,2010
15,Tony Staskunas,Dem,59,West Allis,1996
16,Leon Young,Dem,52,Milwaukee,1992
17,Barbara Toles,Dem,63,Milwaukee,2004
18,Tamara Grigsby,Dem,45,Milwaukee,2004
19,Jon Richards,Dem,56,Milwaukee,1998
20,Christine Sinicki,Dem,59,Bay View,1998
