Position,Player,From club,Fee
Forward,Ali Ashfaq,New Radiant SC,align=right| 0
Forward,Bobby Gonzales,Sarawak,align=right| 0
Head coach,Dollah Salleh,Pahang,align=right| 0
Midfielder,Ahmad Ezrie Shafizie,Johor Darul Takzim,align=right| 0
Defender,Mohd Sabre Mat Abu,Kedah,align=right| 0
Defender,Arman Fareez Tongkat Ali,Kedah,align=right| 0
Defender,Rafael Souza Silva Novais,Perak,align=right| 0
Defender,Thirumurugan s/o Veeran,Perak,align=right| 0
Midfielder,Azi Shahril Azmi,FELDA United,align=right| 0
Forward,Abdul Latiff Suhaimi,T-Team,align=right| 0
Goalkeeper,Azizon Abdul Kadir,Kuala Lumpur,align=right| 0
