Title,Director,Year,First showing
Another Earth,Mike Cahill,2011,January 24
Another Happy Day,Sam Levinson,2011,January 23
Benavides Born ( distributed as All She Can ),Amy Wendel,2011,January 22
Circumstance,Maryam Keshavarz,2011,January 22
Gun Hill Road,Rashaad Ernesto Green,2011,January 24
Here,Braden King,2010,January 21
Higher Ground,Vera Farmiga,2010,January 23
Homework,Gavin Wiesen,2010,January 23
The Ledge,Matthew Chapman,2010,January 21
Like Crazy,Drake Doremus,2011,January 22
Little Birds,Elgin James,2010,January 23
Martha Marcy May Marlene,Sean Durkin,2011,January 21
On the Ice,Andrew Okpeaha MacLean,2011,January 21
Pariah,Dee Rees,2011,January 20
Take Shelter,Jeff Nichols,2011,January 24
Terri,Azazel Jacobs,2011,January 22
