Year,Title,Role,Notes
1997,Port Charles,Stacey,12 episodes
2001,Off Centre,Candy,Episode : Trust Me or Do n't Trust Me
2004,Frasier,The Cable Woman,Episode : Freudian Sleep
2004,I 'm with Her,Julie,Episode : I 'm Not with Her
2004,Quintuplets,Catherine Zeta-Juggs,"Episode : Swing , Swing , Swing"
2004,Boston Legal,Julia,Episode : An Eye for an Eye
2004,According to Jim,Christina,Episode : Poking the Bear
2005,Jack & Bobby,Kappa Sister,Episode : Running Scared
2005,Las Vegas,Hottie/Kitty,Episode : Mothwoman
2005,Four Kings,Sherry,Episode : Elephant in the Room
2005,Desperate Housewives,Second Stripper,Episode : Everybody Says Do n't
2006,Who Wants to Be a Superhero ?,Stacy,Episode Three
2007,CSI : Crime Scene Investigation,Cocktail Waitress,Episode : Cockroaches
2011-2015,Private Islands,Herself,
2014-present,Global Passport with Christina Cindrich,Herself,
