Round,Pick,Player,Recruited from,Club
1,1,Clayton Collard,Fremantle,Richmond
1,2,Aaron Joseph,Tassie Mariners,Carlton
1,3,Trent Zomer,Eastern Ranges,Melbourne
1,4,James Mulligan,Southport,Western Bulldogs
1,5,Rhys Magin,Zillmere,Essendon
1,6,Brent Connelly,Gippsland Power,Fremantle
1,7,Phil Smith,Calder Cannons,Brisbane Lions
1,8,Glenn Chivers,Oakleigh Chargers,St Kilda
1,9,James Moss,Central District,Adelaide
1,10,Matthew O'Dwyer,Sydney,Sydney
1,11,Hugh Sandilands,Oakleigh Chargers,Hawthorn
1,12,Lewis Stevenson,Claremont,West Coast
1,13,Luke Casey-Leigh,Sandringham Dragons,Collingwood
1,14,Nathan Grima,Central District,Kangaroos
1,15,Nick Salter,Woodville-West Torrens,Port Adelaide
1,16,Brodie Moles,Tasmania,Geelong
2,17,Jarrod Silvester,Coburg Tigers,Richmond
2,18,Lachlan Hill,Oakleigh Chargers,Carlton
2,19,Austin Wonaeamirri,St Mary 's Football Club,Melbourne
2,20,Henry White,North Adelaide,Western Bulldogs
