,Landmark name,Location,City or town
948,Blythe Intake,Palo Verde Dam 33°43′54″N 114°30′57″W / 33.731783°N 114.5158°W / 33.731783 ; -114.5158 ( Blythe Intake ),Blythe
101,Giant desert figures,On Hwy 95 33°48′00″N 114°31′39″W / 33.799983°N 114.527567°W / 33.799983 ; -114.527567 ( Giant desert figures ),Blythe
102,Site of Louis Rubidoux House,"5575 block , Mission Blvd . 33°59′49″N 117°24′22″W / 33.996818°N 117.406047°W / 33.996818 ; -117.406047 ( Site of Louis Rubidoux House )",Rubidoux
188,Temescal Butterfield stage station,20730 Temescal Canyon Rd . 33°48′59″N 117°30′31″W / 33.816263888°N 117.50856111°W / 33.816263888 ; -117.50856111 ( Temescal Butterfield stage station ),Temescal Valley
187,Carved Rock,33°46′27″N 117°28′30″W / 33.774225°N 117.47509°W / 33.774225 ; -117.47509 ( Carved Rock ),Temescal Valley
992,Contractor 's General Hospital,"Next to post office , Ragsdale Rd . 33°42′49″N 115°24′09″W / 33.713533°N 115.402633°W / 33.713533 ; -115.402633 ( Contractor 's General Hospital )",Desert Center
738,Corona Founders Monument,Corona City Park 33°52′29″N 117°33′20″W / 33.874647°N 117.555653°W / 33.874647 ; -117.555653 ( Corona Founders Monument ),Corona
787,"de Anza crossing of the Santa Ana River , 1775 and 1776","Jurupa Hills Country Club Golf Course 33°58′33″N 117°26′28″W / 33.975917°N 117.441233°W / 33.975917 ; -117.441233 ( de Anza crossing of the Santa Ana River , 1775 and 1776 )",Riverside
985,Camp Coxcomb at Desert Training Center,18 miles north of I-10 on SR 177 33°54′30″N 115°14′53″W / 33.908333°N 115.248033°W / 33.908333 ; -115.248033 ( Camp Coxcomb at Desert Training Center ),Coxcomb Mountains
985,Camp Granite at Desert Training Center,"on SR 62 , 5.4 miles east of SR 177 34°04′50″N 115°07′59″W / 34.080467°N 115.133133°W / 34.080467 ; -115.133133 ( Camp Granite at Desert Training Center )",Granite Mountains
985,Camp Young at the Desert Training Center,General George S. Patton Memorial Museum 33°39′42″N 115°43′20″W / 33.661667°N 115.722222°W / 33.661667 ; -115.722222 ( Camp Young at the Desert Training Center ),Chiriaco Summit
557,Hemet Maze Stone,Maze Stone Park 33°46′52″N 117°03′23″W / 33.781167°N 117.056367°W / 33.781167 ; -117.056367 ( Hemet Maze Stone ),Hemet
943,Jensen Alvarado Ranch,4350 Riverview Dr. 33°59′34″N 117°25′01″W / 33.992778°N 117.416944°W / 33.992778 ; -117.416944 ( Jensen Alvarado Ranch ),Riverside
761,Mission Inn,3649 Mission Inn Ave. 33°59′00″N 117°22′22″W / 33.983222°N 117.37275°W / 33.983222 ; -117.37275 ( Mission Inn ),Riverside
638,Old Temescal Road,Old Hwy 71 33°45′56″N 117°29′12″W / 33.765609°N 117.486699°W / 33.765609 ; -117.486699 ( Old Temescal Road ),Temescal Valley
190,Painted Rock,"From Temescal Canyon Rd , go 0.1 mi E on Dawson Canyon Rd , then go 0.1 mi NE on Gravel Pit Rd , then 0.2 mi S along railroad track berm , site is 50 ft W of berm",Temescal Valley
20,Parent Washington Navel Orange Tree,"City Park , SW corner of Magnolia and Arlington Avenues 33°56′46″N 117°24′06″W / 33.94615°N 117.401667°W / 33.94615 ; -117.401667 ( Parent Washington Navel Orange Tree )",Riverside
104,Pochea Indian village site,"Ramona Bowl , 27400 Ramona Bowl Road ( S. Girard Street ) 33°43′12″N 116°56′58″W / 33.7199°N 116.9494°W / 33.7199 ; -116.9494 ( Pochea Indian village site )",Hemet
1009,Ramona Bowl,27400 Ramona Bowl Road ( S. Girard Street ) 33°43′11″N 116°56′58″W / 33.719633°N 116.949533°W / 33.719633 ; -116.949533 ( Ramona Bowl ),Hemet
1005,Rancho Santa Rosa,22115 Tenaja Rd . 33°33′N 117°16′W / 33.55°N 117.27°W / 33.55 ; -117.27 ( Rancho Santa Rosa ),Murrieta
