Year,Winner,Score,Opponent,Most Outstanding Player
1985,Northeastern,73-59,Maine,N/A
1986,Northeastern,62-55,Boston,N/A
1987,Northeastern,55-48,Maine,N/A
1988,Boston,66-62,Maine,N/A
1989,Boston,60-54,Northeastern,N/A
1990,Maine,64-54,Boston,"Rachel Bouchard , Maine"
1991,Maine,79-64,Vermont,"Rachel Bouchard , Maine"
1992,Vermont,70-50,Maine,"Sharon Bay , Vermont"
1993,Vermont,62-45,Maine,"Sharon Bay , Vermont"
1994,Vermont,53-51,Northeastern,"Sheri Turnbull , Vermont"
1995,Maine,70-59,Northeastern,"Cindy Blodgett , Maine"
1996,Maine,88-55,Vermont,"Cindy Blodgett , Maine"
1997,Maine,92-70,Vermont,"Cindy Blodgett , Maine"
1998,Maine,81-80,Vermont,"Cindy Blodgett , Maine"
1999,Northeastern,57-55,Maine,"Tesha Tinsley , Northeastern"
2000,Vermont,77-50,Maine,"Karalyn Church , Vermont"
2001,Delaware,69-64,Vermont,"Cindy Johnson , Delaware"
2002,Hartford,60-57,Stony Brook,"Kenitra Johnson , Hartford"
2003,Boston,69-65,Maine,"Katie Terhune , Boston University"
2004,Maine,68-43,Boston,"Cindy Blodgett , Maine"
