Actor,Character,Main cast,Recurring cast
David Caruso,John Kelly,episodes 1-4,N/A
Jimmy Smits,Bobby Simone,episodes 5-22,N/A
Dennis Franz,Andy Sipowicz,entire season,N/A
James McDaniel,Arthur Fancy,entire season,N/A
Amy Brenneman,Janice Licalsi,episodes 1-2,N/A
Nicholas Turturro,James Martinez,entire season,N/A
Sharon Lawrence,Sylvia Costas,entire season,N/A
Gordon Clapp,Greg Medavoy,entire season,N/A
Gail O'Grady,Donna Abandando,entire season,N/A
Justine Miceli,Adrienne Lesniak,N/A,"Episodes 3-5,7,9-15,17,22"
Kim Delaney,Diane Russell,N/A,episodes 19-22
Bill Brochtrup,John Irvin,N/A,episodes 17-22
