Year,Player,High School,College
1985,Chucky Brown,North Brunswick,NC State
1986,Robert Brickey,E.E.Smith,Duke
1987,Henrik Rodl,Chapel Hill,North Carolina
1988,Kenny Williams,Northeastern,Barton County Community College
1989,Bryant Feggins,Winston-Salem Glenn,NC State
1990,Rodney Rogers,Durham Hillside,Wake Forest
1991,Donald Williams,Garner,North Carolina
1992,Todd Fuller,Charlotte Christian School,NC State
1993,Jeff Capel,South View,Duke
1994,Ishua Benjamin,Concord,NC State
1995,Antawn Jamison,Providence,North Carolina
1996,Vincent Whitt,Dudley,Clemson
1997,Jenis Grindstaff,McDowell,Tennessee
1998,Kris Lang,Huss,North Carolina
1999,Jason Parker,West Charlotte,Kentucky
2000,Scooter Sherrill,West Rowan,NC State
2001,Anthony Richardson,Leesville Road,Florida State
2002,Shavlik Randolph,Broughton,Duke
2003,Chris Paul,West Forsyth,Wake Forest
2004,Anthony Morrow,Charlotte Latin School,Georgia Tech
