Club,City,Stadium,Capacity,2015-16 season
Borgosesia,Borgosesia,Comunale,"2,500",13th in Serie D Girone A
Bra,Bra,Attilio Bravi,830,12th in Serie D Girone A
Bustese,Busto Garolfo,Roberto Battaglia,,15th in Serie D Girone B
Caronnese,Caronno Pertusella,Comunale,"1,000",2nd in Serie D Girone A
Casale,Casale Monferrato,Natale Palli,"5,600",1st in Eccellenza Piedmont Girone B
Chieri,Chieri,Piero De Paoli,"3,000",4th in Serie D Girone A
Cuneo,Cuneo,Fratelli Paschiero,"3,060",16th in Lega Pro Girone A
Folgore Caratese,Carate Brianza,XXV Aprile,"3,000",8th in Serie D Girone B
Gozzano,Gozzano,Alfredo D'Albertas,"4,000",6th in Serie D Girone A
Inveruno,Inveruno,Comunale,600,7th in Serie D Girone B
Legnano,Legnano,Giovanni Mari,"5,000",2nd in Eccellenza Lombardy Girone A
OltrepòVoghera,Stradella & Voghera,Giovanni Parisi,"4,000",10th in Serie D Girone A
Pinerolo,Pinerolo,Luigi Barbieri,"2,000",8th in Serie D Girone A
Pro Sesto,Sesto San Giovanni,Breda,"4,500",15th in Serie D Girone B
Pro Settimo & Eureka,Settimo Torinese,Renzo Valla,900,11th in Serie D Girone A
Varese,Varese,Franco Ossola,"9,424",1st in Eccellenza Lombardy Girone A
Varesina,Venegono Superiore & Castiglione Olona,Comunale,,13th in Serie D Girone B
Verbania,Verbania,Carlo Pedroli,"3,000",1st in Eccellenza Piedmont Girone A
