Year,Title,Role
2001,The Emperor 's New Clothes,Recruit
2006,The History Boys,Peter Rudge
2009,In Passing,Henry Travers
2012,Grabbers,Dr. Adam Smith
2012,The Pirates ! In an Adventure with Scientists,The Albino Pirate
2012,Tower Block,Paul
2014,Effie Gray,George
2014,Muppets Most Wanted,Delivery Man
2014,Pride,Tim
2014,Moomins on the Riviera,Moomintroll
2015,Stick Man,Dog
2015,The Lady in the Van,Young Man with Earring
2016,The Pass,Jason
2016,Mindhorn,Paul Melly
2017,The Hippopotamus,Rupert Keynes
2019,The Good Liar,Steven
TBA,Night of the Lotus,Charlie
