Rank,Name,Nation,TFP,SP,FS
1,Manuela Landgraf / Ingo Steuer,East Germany,1.8,2,1
2,Susan Dungjen / Jason Dungjen,United States,3.2,3,2
3,Olga Neizvestnaya / Sergei Hudyakov,Soviet Union,3.4,1,3
4,Irina Shishova / Aleksey Suleymanov,Soviet Union,5.6,4,4
5,Ekaterina Gordeeva / Sergei Grinkov,Soviet Union,7.4,6,5
6,Penny Schultz / Scott Grover,Canada,8.8,7,6
7,Danielle Carr / Stephen Carr,Australia,9.0,5,7
8,Sonja Hoefler / Marc Druener,West Germany,11.2,8,8
9,Lisa Cushley / Niel Cushley,United Kingdom,12.6,9,9
10,Jan Waggoner / Todd Waggoner,United States,14.4,11,10
11,Jihong Sun / Jun Fan,China,15.0,10,11
