English title ( original title ),Original language,Director,Cast,Genre
The Fifth Estate,English,Bill Condon,"Benedict Cumberbatch , Daniel Brühl","Biopic , Thriller"
Marina,"Dutch , Italian",Stijn Coninx,"Matteo Simoni , Evelien Bosmans",Biopic
The Last Inquisitors,English,Guy Bleyaert,Guy Bleyaert,Action
The Verdict ( Het Vonnis ),Dutch,Jan Verheyen,"Koen De Bouw , Joke Devynck , Veerle Baetens , Johan Leysen",Crime
Crimi Clowns : The Movie ( Crimi Clowns : De Movie ),Dutch,Luk Wyns,"Luk Wyns , Manou Kersting , Johnny de Mol",Crime
Kid,Dutch,Fien Troch,Bent Simons,Drama
Champions F.C,Dutch,Eric Wirix,Marijn Devalck,Comedy
Frits & Franky,Dutch,Marc Punt,"Peter Van Den Begin , Sven De Ridder",Comedy
Los Flamencos,Dutch,Daniel Lambo,"Peter Van den Eede , Herwig Ilegems , Mark Verstraete",Comedy
Bingo [ nl ],Dutch,Rudi Van Den Bossche,"Ruud De Ridder , Sven De Ridder",Comedy
Piet Piraat and the Sea Monster,Dutch,Bart Van Leemputten,Peter Van De Velde,Family
