Rank,Title,Studio,Domestic gross
1,Jaws,Universal,"$ 190,000,000"
2,The Rocky Horror Picture Show,20th Century Fox,"$ 112,892,319"
3,One Flew Over the Cuckoo 's Nest,United Artists,"$ 108,981,275"
4,Dog Day Afternoon,Warner Bros,"$ 50,000,000"
5,Shampoo,Columbia,"$ 49,407,734"
6,The Return of the Pink Panther,MGM,"$ 41,833,347"
7,Funny Lady,Columbia,"$ 39,000,000"
8,The Apple Dumpling Gang,Disney,"$ 36,853,000"
9,"Aloha , Bobby and Rose",Columbia,"$ 35,000,000"
10,The Other Side of the Mountain,Universal,"$ 34,673,100"
