Rank,Athlete,Nationality,Time
1,Shem Kororia,Kenya,59:56
2,Moses Tanui,Kenya,59:58
3,Kenneth Cheruiyot,Kenya,1:00:00
4,Hendrick Ramaala,South Africa,1:00:07
5,Mohamed Mourhit,Belgium,1:00:18
6,Gert Thys,South Africa,1:00:23
7,Abraham Assefa,Ethiopia,1:00:52
8,Luís Jesús,Portugal,1:00:56
9,Stefano Baldini,Italy,1:01:01
10,Laban Chege,Kenya,1:01:13
11,Lemma Alemayehu,Ethiopia,1:01:17
12,Michael Fietz,Germany,1:01:18
13,Stéphane Schweickhardt,Switzerland,1:01:26
14,Eduardo do Nascimento,Brazil,1:01:27
15,Wilbroad Axweso,Tanzania,1:01:28
16,Jan Pešava,Czech Republic,1:01:31
17,Alejandro Gómez,Spain,1:01:36
18,Tesfaye Tola,Ethiopia,1:01:37
19,Tendai Chimusasa,Zimbabwe,1:01:42
20,Jean-Pierre Lautredoux,France,1:01:43
