Date,Name,Moving from,Moving to,Fee
"July 1 , 2008",Thomas Buffel,Rangers,Cercle Brugge,Undisclosed
"July 1 , 2008",Chapi,Deportivo La Coruña,Zulte-Waregem,Free
"July 1 , 2008",Rocky Peeters,Sint-Truiden,Germinal Beerschot,Undisclosed
"July 1 , 2008",Daniel Pudil,Slovan Liberec,Genk,Undisclosed
"July 3 , 2008",Mouhcine Iajour,Chiasso,Charleroi,Undisclosed
"July 3 , 2008",Zahir Zerdab,Reims,Zulte-Waregem,Undisclosed
"July 4 , 2008",Dieter Wittesaele,Gent,Dender,Undisclosed
"July 5 , 2008",Arnaud Sutchuin,Brussels,Anderlecht,Free
"July 7 , 2008",Cédric Collet,Brest,Mons,Undisclosed
"July 8 , 2008",Slobodan Slović,Cercle Brugge,Antwerp,Free
"July 9 , 2008",Grégory Christ,Charleroi,Duisburg,Loan
"July 9 , 2008",Jaime Alfonso Ruiz,Alianza Lima,Westerlo,Undisclosed
"July 11 , 2008",Grégory Delwarte,Tournai,Mons,Undisclosed
"July 11 , 2008",Adriano Duarte,Mons,Gent,Undisclosed
"July 11 , 2008",Yannick Vervalle,Ilisiakos,Tubize,Undisclosed
"July 13 , 2008",Thiago,Rio Claro,Tubize,Undisclosed
"July 13 , 2008",Rafael Santiago,unclear,Tubize,Undisclosed
"July 14 , 2008",Cheikhou Kayouté,Brussels,Anderlecht,Undisclosed
"July 15 , 2008",Tomislav Mikulić,Dinamo Zagreb,Standard Liège,Undisclosed
"July 15 , 2008",Bertin Tomou,Mouscron,Westerlo,Undisclosed
