Tournament,MVP,Top Scorer,PPG
EuroBasket 1935,Rafael Martín,Livio Franceschini,16.5
EuroBasket 1937,Pranas Talzūnas,Rūdolfs Jurciņš,12.5
EuroBasket 1939,Mykolas Ruzgys ( de facto : Pranas Lubinas ),Heino Veskila,16.7
EuroBasket 1946,Ferenc Németh,Paweł Stok,12.6
EuroBasket 1947,Joann Lõssov,Jacques Perrier,13.7
EuroBasket 1949,Hüseyin Öztürk,Hüseyin Öztürk,19.3
EuroBasket 1951,Ivan Mrázek,Ivan Mrázek,17.1
EuroBasket 1953,Anatoly Konev,Ahmed Idlibi,15.9
EuroBasket 1955,János Greminger,Miroslav Skerik,19.1
EuroBasket 1957,Jiří Baumruk,Eddy Terrace,24.4
EuroBasket 1959,Viktor Zubkov,Radivoj Korać,28.1
EuroBasket 1961,Radivoj Korać,Radivoj Korać ( 2 ),24.0
EuroBasket 1963,Emiliano Rodríguez,Radivoj Korać ( 3 ),26.6
EuroBasket 1965,Modestas Paulauskas,Radivoj Korać ( 4 ),21.9
EuroBasket 1967,Jiří Zedníček,Georgios Kolokithas,26.7
EuroBasket 1969,Sergei Belov,Georgios Kolokithas ( 2 ),23.5
EuroBasket 1971,Krešimir Ćosić,Edward Jurkiewicz,22.6
EuroBasket 1973,Wayne Brabender,Atanas Golomeev,22.3
EuroBasket 1975,Krešimir Ćosić ( 2 ),Atanas Golomeev ( 2 ),22.9
EuroBasket 1977,Dražen Dalipagić,Kees Akerboom,27.0
