Name,Origins,Notes
Ankh,Ancient Egyptian religion,Ancient Egyptian symbol for eternal life ; now also associated with Kemetism and neo-paganism
Arrow ( Belomancy ),Ancient divination,Arrows used to gain knowledge through divination
Baphomet,Knights Templar,"Adopted by modern occultists and Satanists after the Knights Templar were accused of worshiping it . Theistic Satanists worship it as a deity or demon , while atheistic Satanists see it as a metaphorical symbol . However , the goat-headed Baphomet image seen here is a 19th century creation first appearing in Dogme et Rituel de la Haute Magie ( 1856 ) by Christian occultist Éliphas Lévi . It was not originally created as a Satanic symbol and is not representative of the Baphomet associated with the Knights Templar . See also : Sigil of Baphomet and Statue of Baphomet"
Black Sun,Nazi occultism and later the neo-Nazi movement,"A symbol of the sun composed of twelve sig runes first appearing on the floor of the north tower of Wewelsburg after Heinrich Himmler ordered it to be remodeled , it gained modern popularity due to its use by Nazi occultists . It was later adopted by Satanists . The name Black Sun was coined by Wilhelm Landig of the Landig Group"
Circled dot,Alchemy,The alchemical symbol for the sun and various sun gods . Also the alchemical symbol for gold
Cross of Saint Peter,"Christianity , later adopted by Satanism","Used paradoxically both as a symbol of Saint Peter and as Anti-Christian sentiment . The symbol comes from the crucifixion of Saint Peter , in which he requested to be crucified upside-down as he did n't see himself as worthy to die the same way as Jesus"
Eye of Horus,Ancient Egyptian religion,"The eye of the god Horus , a symbol of protection , now associated with the occult and Kemetism"
Eye of Providence ( or the all-seeing eye of God ),Christian iconography,"The eye of God within a triangle and surrounded by holy light , representing His omniscience"
Heptagram,"Judaism , Christianity , Islam , Thelema , Paganism , Alchemy","In Christianity , it represents the seven days of creation . In Islam , it represents the first seven verses of the Quran . It is the symbol of Babalon in Thelema . In Wicca , it is known as the Elven Star , Fairy Star , or Septagram"
Hexagram,Mandala and Judaism,"An ancient symbol of the Jewish faith , also found on the Seal of Solomon"
Icelandic magical staves,Icelandic magic,Sigils created with magical powers by the Icelandic people . Pictured is the stave known as Ægishjálmur
Monas Hieroglyphica,the works of John Dee,"A symbol invented by John Dee , alchemist and astrologer at the court of Elizabeth I of England . It represents ( from top to bottom ) : the moon ; the sun ; the elements ; and fire"
Ouroboros,Ancient Egypt and Persia,"A serpent or dragon consuming its own tail , it is a symbol of infinity , unity , and the cycle of death and rebirth"
Pentacle,European witchcraft,"A type of talisman used in magical evocation . In occultism , it is synonymous with sigil , while in paganism it is synonymous with pentagram . These are two different definitions for the same term"
Pentagram,Mesopotamia,"An ancient symbol of a unicursal five-pointed star circumscribed by a circle with many meanings , including but not limited to , the five wounds of Christ and the five elements ( earth , fire , water , air , and soul ) . In Satanism , it is flipped upside-down . See also : Sigil of Baphomet"
Rose Cross,Rosicrucianism / Hermetic Order of the Golden Dawn,A symbol associated with Christian Rosenkreuz with many different attributions of symbolism
Runes,Norse mythology,"Ancient magical symbols used by Norsemen , used in modern times by heathens and occultists . They were popular among Nazi occultists"
Seal of Solomon,"Alchemy , Christian and Islamic esotericism",A ring attributed to King Solomon in Jewish and esoteric tradition
Seal of the Theosophical Society,Theosophy ( Blavatskian ),"A seal consisting of a Swastika , Star of David , Ankh , Om , and Ouroboros , used by the Theosophical Society , an organization formed in 1875 to advance Theosophy"
Septenary Sigil,Order of Nine Angles,"The main symbol of the Order of Nine Angles , a neo-Nazi Satanic and Left-hand occult group based in the United Kingdom"
