Name,No . Specimens,Abbr,Location,Website
Muséum National d'Histoire Naturelle,"9,500,000","P , PC",France ; Paris,[ 52 ]
Komarov Botanical Institute ( Ботанический институт имени В.Л . Комарова ),"7,160,000",LE,Russia ; St. Petersburg,[ 53 ]
Royal Botanic Gardens Kew,"7,000,000",K,"UK ; Kew , England",[ 54 ]
Conservatoire et Jardin botaniques de la Ville de Genève,"6,000,000",G,Switzerland ; Geneva,[ 55 ]
Naturalis Biodiversity Center ( Nationaal Herbarium Nederland ),"5,700,000","AMD , L , U , WAG",Netherlands ; Leiden,[ 56 ]
British Museum of Natural History,"5,200,000",BM,"UK ; London , England",[ 57 ]
Naturhistorisches Museum Wien,"5,000,000",W,Austria ; Vienna,[ 58 ]
Swedish Museum of Natural History ( Naturhistoriska riksmuseet ),"4,400,000",S,Sweden ; Stockholm,[ 59 ]
Université Montpellier,"4,000,000",MPU,France ; Montpellier,[ 60 ]
Université Claude Bernard,"4,000,000",LY,France ; Lyon,[ 61 ]
Herbarium Haussknecht Friedrich Schiller University Jena,"3,500,000",JE,"Germany , Jena",[ 62 ]
Joint Herbarium of the University of Zurich and the ETH Zurich,"3,500,000",Z+ZT,"Switzerland , Zurich",[ 63 ]
Botanic Garden Meise,"3,500,000",BR,"Belgium , Meise",[ 64 ]
"Botanischer Garten und Botanisches Museum Berlin-Dahlem , Zentraleinrichtung der Freien Universität Berlin","3,000,000",B,"Germany , Berlin",[ 65 ]
Finnish Museum of Natural History ( University of Helsinki ),"3,000,000",H,"Finland , Helsinki",[ 66 ]
Botanische Staatssammlung München,"3,000,000",M,"Germany , Munich",[ 67 ]
University of Copenhagen,"2,510,000",C,"Denmark , Copenhagen",[ 68 ]
Hungarian Natural History Museum - Department of Botany,"2,000,000",BP,"Budapest , Hungary",[ 69 ]
"Royal Botanic Garden , Edinburgh","2,000,000",E,"UK ; Edinburgh , Scotland",[ 70 ]
Herbarium Hamburgense,"1,800,000",HBG,"Germany , Hamburg",[ 71 ]
