Franchise,Championships,Runners-up,Third places,Total trophies,Last championship
San Miguel / Petron / Magnolia / Gold Eagle / Royal,27,15,15,57,2019 Commissioner 's Cup
Alaska / Hills Bros,14,17,12,43,2013 Commissioner 's
Magnolia / Star / Purefoods / San Mig Coffee / B-Meg / Coney Island,14,16,1,31,2018 Governors '
Crispa / Walk Tall,13,7,4,24,1984 First All-Filipino
Barangay Ginebra / Ginebra / Gordon 's Gin / Tondeña / Añejo / Gilbey 's Gin / St. George,12,14,7,33,2019 Governors '
Toyota,9,9,3,21,1982 Open
TNT / Talk ' N Text / Mobiline / 7-Up / Pepsi,7,11,5,23,2015 Commissioner 's
Great Taste / Presto,6,4,4,14,1990 All-Filipino
Shell,4,5,6,15,1999 All-Filipino
Diet Sarsi / Swift / Sunkist / Pop Cola,4,3,7,14,1995 Commissioner 's
Tanduay,3,2,8,13,1987 Open
Red Bull,3,2,4,9,2005-06 Fiesta
Rain or Shine / Welcoat,2,4,0,6,2016 Commissioner 's
Coca-Cola / Powerade,2,3,1,6,2003 Reinforced
U/Tex,2,2,5,9,1980 Open
Sta . Lucia,2,1,6,9,2007-08 Philippine
Northern Cement *,1,0,2,3,1985 Reinforced
Nicholas Stoodley ( United States ) *,1,0,0,1,1980 Invitational
Beer Hausen / Manila Beer,0,3,1,4,-
Meralco,0,3,0,3,-
