Player,Team,Base price,Winning bid
Christopher Barnwell,Royal Challengers Bangalore,"$ 50,000","$ 50,000"
Johan Botha,Delhi Daredevils,"$ 300,000","$ 450,000"
Daniel Christian,Royal Challengers Bangalore,"$ 100,000","$ 100,000"
Michael Clarke,Pune Warriors India,"$ 400,000","$ 400,000"
Nathan Coulter-Nile,Mumbai Indians,"$ 100,000","$ 450,000"
Akila Dananjaya,Chennai Super Kings,"$ 20,000","$ 20,000"
Quinton de Kock,Sunrisers Hyderabad,"$ 20,000","$ 20,000"
Fidel Edwards,Rajasthan Royals,"$ 100,000","$ 210,000"
James Faulkner,Rajasthan Royals,"$ 100,000","$ 400,000"
Manpreet Gony,Kings XI Punjab,"$ 200,000","$ 500,000"
Moisés Henriques,Royal Challengers Bangalore,"$ 100,000","$ 300,000"
Jason Holder,Chennai Super Kings,"$ 20,000","$ 20,000"
Phillip Hughes,Mumbai Indians,"$ 100,000","$ 100,000"
Ben Laughlin,Chennai Super Kings,"$ 20,000","$ 20,000"
Glenn Maxwell,Mumbai Indians,"$ 200,000","$ 1,000,000"
Nathan McCullum,Sunrisers Hyderabad,"$ 100,000","$ 100,000"
Clint McKay,Sunrisers Hyderabad,"$ 100,000","$ 100,000"
Ryan McLaren,Kolkata Knight Riders,"$ 50,000","$ 50,000"
Ajantha Mendis,Pune Warriors India,"$ 50,000","$ 725,000"
Jeevan Mendis,Delhi Daredevils,"$ 50,000","$ 50,000"
