#,Name,POS,Moving from,Mode
1,Lee Yoon-Ho,DF,Korea University,Youth system ( After Univ . )
2,Jung Seung-Yong,FW,Dongbuk High School,Youth system
3,Song Seung-Ju,DF,Dongbuk High School,Youth system
4,Lee Kwang-Jin,MF,Dongbuk High School,Youth system
5,Cho Min-Woo,DF,Dongbuk High School,Youth system ( Univ . )
6,Kang Jung-Hun,FW,Konkuk University,Regular ( 1st )
7,Choi Hyun-Tae,FW,Dong-A University,Regular ( 2nd )
8,Kim Dong-Woo,DF,Chosun University,Regular ( 4th )
9,Choi Hyun-Bin,DF,Chungbuk National University,Regular ( 5th )
10,Kim Tae-Hwan,MF,Kumho High School,Regular ( 6th )
11,Yoon Dong-Min,FW,Kyunghee University,Extra
12,Jeon Ho-Yeon,MF,Dongbuk High School,Extra
13,Choi Jong-Hoan,MF,Ulsan Hyundai Mipo Dockyard,Extra
14,Jung Sang-Ho,FW,Sorabol College,Supplement
15,Han Il-Koo,GK,Korea University,Supplement
16,Choi Won-Wook,MF,Korea University,Supplement
