Name of Town,State,Type,Population ( 2011 )
Vadakkuvalliyur,Tamil Nadu,T.P,"29,417"
Vadalur,Tamil Nadu,T.P,"39,514"
Vadgaon Kasba,Maharashtra,M.Cl,"25,651"
vasudevanallur,Tamil Nadu,T.P,"23,350"
Vadnagar,Gujarat,M,"27,790"
Vaijapur,Maharashtra,M.Cl,"41,296"
Vaikom,Kerala,M,"23,234"
Valparai,Tamil Nadu,M,"70,859"
Vandavasi,Tamil Nadu,M,"31,320"
Vaniyambadi,Tamil Nadu,M,"95,061"
Vapi,Gujarat,I.N.A,"34,162"
Varandarappilly,Kerala,T.P,"27,343"
Varkala,Kerala,M,"40,728"
Vatakara,Kerala,M,"75,295"
Vedaranyam,Tamil Nadu,M,"34,266"
Vellakoil,Tamil Nadu,M,"40,359"
Venkatagiri,Andhra Pradesh,M,"51,708"
"Vijainagar , Ajmer",Rajasthan,M,"32,124"
Vijapur,Gujarat,M,"25,558"
Vijaypur,Madhya Pradesh,N.P,"16,964"
