Country 1,Country 2,Agreement date,Treaty name,Notes
Australia,Papua New Guinea,18 Dec 1978,"Treaty between Australia and the Independent State of Papua New Guinea concerning sovereignty and maritime boundaries in the area between the two countries , including the area known as Torres Strait , and related matters",
France,Tonga,11 Jan 1980,Convention between the Government of the French Republic and the Government of the Kingdom of Tonga on the delimitation of economic zones,Establishes Wallis and Futuna - Tonga boundary
Cook Islands,United States,11 Jun 1980,Treaty between the United States of America and the Cook Islands on friendship and delimitation of the maritime boundary between the United States of America and the Cook Islands,Establishes Cook Islands - American Samoa border
New Zealand,United States,2 Dec 1980,Treaty Between the United States of America and New Zealand on the Delimitation of the Maritime Boundary Between Tokelau and the United States of America,Establishes Tokelau - American Samoa boundary
Papua New Guinea,Indonesia,13 Dec 1980,Agreement between the Government of Indonesia and the Government of Papua New Guinea Concerning the Maritime Boundary between the Republic of Indonesia and Papua New Guinea and Cooperation on related Matters,
Australia,France,4 Jan 1982,Agreement on Marine Delimitation between the Government of Australia and the Government of the French Republic,Establishes : 1 . Australia - New Caledonia boundary 2 . Norfolk Island - New Caledonia boundary 3 . Kerguelen Island - Heard and McDonald Islands boundary
Fiji,France,19 Jan 1983,Agreement between the Government of the Republic of France and the Government of Fiji relating to the Delimitation of their Economic Zone,Establishes : 1 . Fiji - New Caledonia boundary 2 . Fiji - Wallis and Futuna boundary
France,United Kingdom,25 Oct 1983,Convention on Maritime Boundaries between the Government of the French Republic and the Government of the United Kingdom of Great Britain and Northern Ireland,Establishes French Polynesia - Pitcairn Islands boundary
France,Tuvalu,6 Aug 1985 to 5 Nov 1985,Exchange of notes between the Ministry of Foreign Affairs of the Government of Tuvalu and the French Embassy in Suva constituting an Agreement concerning provisional maritime delimitation between the two countries,Establishes provisional Wallis and Futuna - Tuvalu boundary
Australia,Solomon Islands,13 Sep 1988,Agreement between the Government of Australia and the Government of Solomon Islands establishing certain sea and seabed boundaries,
Papua New Guinea,Solomon Islands,25 Jan 1989,"Treaty between the Independent State of Papua New Guinea and Solomon Islands Concerning Sovereignty , Maritime and Seabed Boundaries between the Two Countries , and Cooperation on Related Matters",
Australia,Indonesia,11 Dec 1989,Treaty between Australia and the Republic of Indonesia on the zone of cooperation in an area between the Indonesian province of East Timor and Northern Australia,no longer in force
Cook Islands,France,3 Aug 1990,Agreement on Maritime Delimitation between the Government of the Cook Islands and the Government of the French Republic,Establishes Cook Islands - French Polynesia boundary
France,Solomon Islands,12 Nov 1990,Agreement on maritime delimitation between the Government of the French Republic and the Government of the Solomon Islands,Establishes New Caledonia - Solomon Islands boundary
Australia,Indonesia,14 Mar 1997,Treaty between the Government of Australia and the Government of the Republic of Indonesia establishing an exclusive economic zone boundary and certain seabed boundaries,Establishes : 1 . Australia - Indonesia boundary Christmas Island - Indonesia boundary
Niue,United States,13 May 1997,Treaty between the Government of the United States of America and the Government of Niue on the delimitation of a maritime boundary,Establishes Niue - American Samoa boundary
Australia,East Timor,20 May 2002 ( backdated ),Timor Sea Treaty between the Government of East Timor and the Government of Australia,
France,Kiribati,18 Dec 2002,Agreement between the Government of the French Republic and the Government of the Republic of Kiribati concerning the Delimitation of a Boundary Line between the Exclusive Economic Zone around French Polynesia and the Exclusive Economic Zone of the Republic of Kiribati,Establishes Kiribati - French Polynesia boundary
France,New Zealand,30 Jun 2003,Agreement between the Government of the French Republic and the Government of New Zealand concerning the delimitation of the maritime boundaries between Wallis and Futuna and Tokelau ( with map ),Establishes Tokelau - Wallis and Futuna boundary
Australia,New Zealand,25 Jul 2004,Treaty between the Government of Australia and the Government of New Zealand establishing certain Exclusive Economic Zone and Continental Shelf Boundaries,
