Player,Position,Seasons
Dan Adams,P,1914 - 1915
Charlie Blackburn,P,1915
Bill Bradley,3B,1915
Drummond Brown,C,1914 - 1915
Chet Chadbourne,OF,1914 - 1915
Cad Coles,CF,1914
Nick Cullop,P,1914 - 1915
Cliff Daringer,IF,1914
Ted Easterly,C,1914 - 1915
Jack Enzenroth,C,1914 - 1915
Grover Gilmore,RF,1914 - 1915
Joe Gingras,P,1915
Pep Goodwin,SS,1914 - 1915
Ben Harris,P,1914 - 1915
Pete Henning,P,1914 - 1915
George Hogan,P,1914
Chief Johnson,P,1914 - 1915
Bill Kenworthy,2B,1914 - 1915
Art Kruger,OF,1914 - 1915
Alex Main,P,1915
