Scientific name,Common name,Family,Estimated size,Extinction date
Archaeoindris fontoynonti,Sloth lemurs,Palaeopropithecidae,160-200 kg ( 350-440 lb ),350 BCE
Archaeolemur edwardsi,Monkey lemurs ( or baboon lemurs ),Archaeolemuridae,15-25 kg ( 33-55 lb ),1047-1280 CE
Archaeolemur majori,Monkey lemurs ( or baboon lemurs ),Archaeolemuridae,15-25 kg ( 33-55 lb ),1047-1280 CE
Babakotia radofilai,Sloth lemurs,Palaeopropithecidae,16-20 kg ( 35-44 lb ),3050 BCE
Daubentonia robusta,Giant aye-aye,Daubentoniidae,14 kg ( 31 lb ),891-1027 CE
Hadropithecus stenognathus,Monkey lemurs ( or baboon lemurs ),Archaeolemuridae,27-35 kg ( 60-77 lb ),444-772 CE
Megaladapis edwardsi,Koala lemurs,Megaladapidae,40-80 kg ( 88-176 lb ),1280-1420 CE
Megaladapis grandidieri,Koala lemurs,Megaladapidae,40-80 kg ( 88-176 lb ),1280-1420 CE
Megaladapis madagascariensis,Koala lemurs,Megaladapidae,40-80 kg ( 88-176 lb ),1280-1420 CE
Mesopropithecus dolichobrachion,Sloth lemurs,Palaeopropithecidae,10-14 kg ( 22-31 lb ),245-429 CE
Mesopropithecus globiceps,Sloth lemurs,Palaeopropithecidae,10-14 kg ( 22-31 lb ),245-429 CE
Mesopropithecus pithecoides,Sloth lemurs,Palaeopropithecidae,10-14 kg ( 22-31 lb ),245-429 CE
Pachylemur insignis,Pachylemur,Lemuridae,11.5 kg ( 25 lb ),680-960 BCE
Pachylemur jullyi,Pachylemur,Lemuridae,13 kg ( 29 lb ),Holocene
Palaeopropithecus ingens,Sloth lemurs,Palaeopropithecidae,25-50 kg ( 55-110 lb ),1300-1620 CE
Palaeopropithecus kelyus,Sloth lemurs,Palaeopropithecidae,35 kg ( 77 lb ),Late Quaternary
Palaeopropithecus maximus,Sloth lemurs,Palaeopropithecidae,25-50 kg ( 55-110 lb ),1300-1620 CE
