Team 1,Agg,Team 2,1st leg,2nd leg
Gor Mahia,2-1,New Star,2-1,0-0
Al-Ahly Benghazi,2-3,NA Hussein Dey,1-0,1-3
Al-Hilal,3-1,Mukura Victory Sports,3-0,0-1
Nkana,3-0,FC San Pédro,3-0,0-0
Coton Sport,3-5,Asante Kotoko,2-3,1-2
ZESCO United,5-2,Kaizer Chiefs,3-1,2-1
Stade Malien,2-3,Petro de Luanda,1-1,1-2
African Stars,1-2,Raja Casablanca,1-1,0-1
ASC Diaraf,3-5,RS Berkane,2-0,1-5
Vipers,0-3,CS Sfaxien,0-0,0-3
Ittihad Tanger,1-3,Zamalek,0-0,1-3
AS Otôho,3-2,KCCA,3-0,0-2
Bantu,2-4,Enugu Rangers,1-2,1-2
Al-Nasr,2-3,Salitas,1-0,1-3
Jimma Aba Jifar,0-5,Hassania Agadir,0-1,0-4
