Outcome,No,Year,Championship,Opponent in the final,Score
Runner-up,1,1988,The Classic,Steve Davis,11-13
Winner,1,1989,European Open,Terry Griffiths,9-8
Runner-up,2,1989,World Snooker Championship,Steve Davis,3-18
Winner,2,1990,European Open ( 2 ),Stephen Hendry,10-6
Winner,3,1991,World Snooker Championship,Jimmy White,18-11
Winner,4,1991,Dubai Classic,Tony Knowles,9-3
Winner,5,1991,UK Championship,Jimmy White,16-13
Runner-up,3,1992,Strachan Open,James Wattana,5-9
Winner,6,1992,Dubai Classic ( 2 ),Stephen Hendry,9-8
Runner-up,4,1992,UK Championship,Jimmy White,9-16
Winner,7,1994,International Open,James Wattana,9-5
Runner-up,5,1994,European Open,Stephen Hendry,3-9
Winner,8,1995,Thailand Classic ( 3 ),Nigel Bond,9-6
Runner-up,6,1996,Welsh Open,Mark Williams,3-9
Winner,9,1996,European Open ( 3 ),Peter Ebdon,9-7
Runner-up,7,1997,European Open ( 2 ),John Higgins,5-9
Runner-up,8,1997,German Open,John Higgins,4-9
Runner-up,9,1998,Thailand Masters,Stephen Hendry,6-9
