Pick,Selecting Team,Player,Position,Previous Team
1,Chivas USA,Arturo Torres,M,Los Angeles Galaxy
2,Real Salt Lake,Andy Williams,M,Chicago Fire
3,Chivas USA,Orlando Perez,D,Chicago Fire
4,Real Salt Lake,D.J . Countess,GK,Chicago Fire
5,Chivas USA,Ezra Hendrickson,D,D.C. United
6,Real Salt Lake,Pablo Brenes,M,MetroStars
7,Chivas USA,Francisco Gomez,M,Kansas City Wizards
8,Real Salt Lake,Brian Kamler,M,New England Revolution
9,Chivas USA,Antonio de la Torre,D,Colorado Rapids
10,Real Salt Lake,Nelson Akwari,D,Columbus Crew
11,Chivas USA,Matt Taylor,F,Kansas City Wizards
12,Real Salt Lake,Chris Brown,M,San Jose Earthquakes
13,Chivas USA,Craig Ziadie,D,MetroStars
14,Real Salt Lake,Matt Behncke,D,F.C . Dallas
15,Chivas USA,Jamil Walker,M,San Jose Earthquakes
16,Real Salt Lake,Rusty Pierce,D,New England Revolution
17,Chivas USA,Thiago Martins,F,D.C. United
18,Real Salt Lake,Kevin Ara,M,D.C. United
19,Chivas USA,Jeff Stewart,D,Colorado Rapids
20,Real Salt Lake,Erick Scott,F,Columbus Crew
