Position,Player,From club,Fee
ST,Patrich Wanggai,Persipura Jayapura,align=right| 0
DRC,Muhd Hazwan Rahman,Harimau Muda A,align=right| 0
DRC,Shahril Faizal Ahmad Sharifuddin,Sabah FA,align=right| 0
GK,Wan Azraie Wan Teh,Terengganu,align=right| 0
DC,Mohd Faizal Muhammad,Terengganu,align=right| 0
ST,Azlan Ismail,Perak,align=right| 0
D/MRL,Alto Linus,Sabah,align=right| 0
DMC,Khairan Ezuan Razali,Terengganu,align=right| 0
AMR,Shamsul Kamal Mohamad,Terengganu,align=right| 0
ST,Hattaphon Bun An,Kedah,align=right| 0
ST,Mohd Nizad Ayub,PKNS F.C,align=right| 0
ST,Ramzul Zahini Adnan,Selangor,align=right| 0
GK,Mohd Shahril Saa'ri,Sabah,align=right| 0
DL,Mohd Irfan Abdul Ghani,Johor Darul Takzim F.C,align=right| 0
ST,Evaldo Gonçalves,Hoàng Anh Gia Lai F.C,align=right| 0
MC,Nelson San Martín,Kedah FA,align=right| 0
DC,Fábio Flor de Azevedo,Busaiteen Club,align=right| 0
GK,Mohd Shahrul Nizam Mohd Shukri,Terengganu FA,align=right| 0
DC,Mohd Arif Fadzilah Abu Bakar,Harimau Muda C,align=right| 0
DC,Muhammad bin Mohd Fauzi,Harimau Muda C,align=right| 0
